# ----------------------------------------
# All Web Site Data
# Overview
# 20181001-20190429
# ----------------------------------------

Device Category,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
12/18/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$74.60,3.45%
12/19/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/19/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/19/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/20/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/20/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/20/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/21/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$93.68,1.59%
12/21/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$93.68,2.04%
12/21/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/22/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/22/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/22/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/23/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/23/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/23/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/24/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$93.68,2.44%
12/24/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$93.68,4.17%
12/24/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/25/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/25/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/25/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/26/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/26/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/26/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/27/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$83.08,1.32%
12/27/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/27/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$83.08,3.33%
12/28/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$137.80,1.11%
12/28/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/28/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$137.80,3.45%
12/29/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/29/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/29/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/30/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/30/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/30/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/31/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/31/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/31/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
1/1/19,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
1/1/19,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
